epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.9369,1.26243,3.41713,1.29212,0.0354,0.42865,0.13009,0.09302,1.08473,3.51407,1.12284,0.000410156,0.000410156,0.000410156
2,211.318,1.37862,3.06153,1.4303,0.25198,0.21682,0.17688,0.11365,1.26821,2.94169,1.26114,0.000553971,0.000553971,0.000553971
3,326.864,1.46952,2.95176,1.41253,0.27774,0.31628,0.22698,0.14465,1.24476,2.64099,1.25648,0.000422786,0.000422786,0.000422786
