epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.91257,0.96181,2.98668,1.33738,0.7941,0.83333,0.8885,0.63393,1.43955,1.39658,1.28311,0,0,0
2,5.84495,1.13357,2.56758,1.54098,0.78208,0.75,0.87469,0.64088,1.44481,1.40548,1.28335,9.5438e-07,9.5438e-07,9.5438e-07
3,8.49484,1.35997,2.84328,1.77449,0.79452,0.75,0.87517,0.62578,1.47062,1.41577,1.29145,1.43752e-06,1.43752e-06,1.43752e-06
4,11.0412,1.06085,3.14773,1.35528,0.75061,0.75,0.87471,0.60045,1.48219,1.44409,1.29695,1.44942e-06,1.44942e-06,1.44942e-06
5,13.9035,1.04578,2.75408,1.39805,0.71511,0.75,0.88868,0.59548,1.51561,1.48543,1.31745,9.9008e-07,9.9008e-07,9.9008e-07
