epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0957,3.10889,7.1576,3.11753,0.00017,0.16667,0.00051,0.0003,3.39266,9.58802,3.80638,5e-05,5e-05,5e-05
2,26.5394,2.63846,6.44131,2.63421,0.00017,0.16667,0.00069,0.0004,3.24008,9.31272,3.65858,7.5375e-05,7.5375e-05,7.5375e-05
3,39.9312,2.89638,6.39631,2.84442,0.00017,0.16667,0.00112,0.00061,3.01474,8.98965,3.54072,5.95e-05,5.95e-05,5.95e-05
